16432,16614
16695,16805
16900,17056
20829,20910
23561,23740
25449,25646
27059,27169
27873,27975
27975,28109
30341,30454
30667,30800
32533,32903
32941,33240
37713,38364
47074,47379
47512,47887
51631,51745
54266,54408
60586,60834
63310,63543
65120,65492
67491,69291
69286,69486
69486,69796
69796,69983
70537,70832
71055,71487
73396,73688
73688,73823
73823,74283
75399,76404
77162,78259
78258,78546
79377,79641
80547,80594
81535,81933
82306,82540
82706,82784
82789,82952
82978,83563
84685,85426
85460,85584
87005,88302
90006,90420
91356,91433
92297,92395
94304,95026
95026,95204
95223,96307
99907,103150
105164,106152
106427,106535
106536,107092
110028,110160
112144,112286
112359,112606
112655,112792
114242,114551
115244,115297
116524,116684
118208,118353
118424,118573
118887,119303
119595,119862
122240,122600
122600,122894
123443,123805
123940,124245
124742,124812
125014,125441
128199,128302
128647,128928
128950,129067
129433,129880
129880,130077
130070,130457
131231,131989
134423,134719
136860,136973
136976,137246
139164,139365
140678,140798
140912,141182
141618,141726
141726,142025
142025,142118
142513,142806
142808,142918
142920,143021
143667,143878
143885,144106
147197,147506
153515,153799
153933,154016
154047,154156
154392,154692
154905,155097
155698,155833
156087,156507
156789,156872
156874,157164
157670,157977
157977,158047
158047,158350
158350,158651
158687,158870
159544,159652
159693,159810
159823,160255
160614,160905
160979,161276
161362,161670
162043,162260
162317,162375
162444,162603
162604,162898
163151,163425
163435,163537
163537,163808
163855,163915
164005,164297
164419,164530
165170,165472
165774,166082
166532,166828
166855,166988
167087,167581
167696,167855
168140,168268
168289,168646
168649,168940
168940,169198
169198,169493
169493,169803
169803,170109
170109,170409
171518,171713
172368,172488
172490,172792
172830,172950
173201,173509
173556,173724
173869,173992
173992,174115
174335,174376
174480,174588
174599,174744
175086,175370
175729,175953
177670,177947
178082,178180
178766,179084
180220,180501
180731,181068
181379,181683
182428,182707
182740,182874
183530,183810
183871,184166
184860,185163
185291,185719
185749,186055
186231,186528
187319,187615
188795,188862
189211,189292
190758,190894
190894,191199
191199,191371
191597,191910
192043,192336
192358,192647
192805,192890
195131,195351
195446,195750
196061,196259
199187,199293
200494,200682
201542,201842
202295,202631
202756,202970
203327,203692
203692,203826
203944,204011
204036,204104
204129,204197
204200,204501
205605,207005
210523,210796
210982,211063
211370,211679
211731,211907
212403,212706
212897,213048
213051,213132
213139,213375
213375,213491
213531,213776
213784,214077
214078,214144
214298,214482
214527,214810
214820,215120
216507,216711
218691,218992
219013,219891
219891,220203
220203,220365
222041,222477
222479,222782
222805,223238
223300,223551
223573,223664
223750,224055
224055,224354
224354,224644
224644,225089
225089,225400
225400,225558
225786,226089
227796,228092
229048,229332
229619,229772
229778,230073
231783,231941
233654,233715
234194,234394
234446,235077
235077,235366
235366,235470
235574,235833
235834,236131
236151,236446
236680,237001
237192,237454
237461,237607
237623,237679
237679,237967
237968,238294
238341,238390
239456,239595
239820,239891
240447,240717
241226,241286
241273,241363
243431,243499
244845,244893
245013,245127
246440,246594
247696,247945
248046,248373
248375,248688
248929,249247
252668,252898
252930,253441
255306,255440
255785,256115
256156,256377
265809,266082
266082,266387
266421,266651
266860,267297
267297,267589
267589,267694
267694,267976
267976,268112
268112,268245
